%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pixels
1637084802846604136,1934,0,,1505
1637084802937602334,1935,0,,1508
1637084803024813553,1936,0,,1508
1637084803103973121,1937,0,,1512
1637084803200311181,1938,0,,1508
1637084803278791548,1939,0,,1498
1637084803415911164,1940,0,,1496
1637084803509050756,1941,0,,1490
1637084803623203224,1942,0,,1480
1637084803675153210,1943,0,,1478
1637084803787768796,1944,0,,1462
1637084803857489606,1945,0,,1474
1637084803945809755,1946,0,,1484
1637084804036385033,1947,0,,1500
1637084804123597558,1948,0,,1515
1637084804215429639,1949,0,,1530
1637084804332860003,1950,0,,1558
1637084804398489980,1951,0,,1556
1637084804477209229,1952,0,,1548
1637084804546190335,1953,0,,1546
1637084804657107798,1954,0,,1542
1637084804732618141,1955,0,,1543
1637084804828876600,1956,0,,1539
1637084804920668728,1957,0,,1540
1637084804999151634,1958,0,,1526
1637084805094640743,1959,0,,1519
1637084805212992032,1960,0,,1496
1637084805300778175,1961,0,,1494
1637084805393209874,1962,0,,1506
1637084805493009080,1963,0,,1506
1637084805571367162,1964,0,,1518
1637084805663447429,1965,0,,1533
1637084805758316282,1966,0,,1546
1637084805854446671,1967,0,,1560
1637084805978843823,1968,0,,1564
1637084806075220962,1969,0,,1555
1637084806171725906,1970,0,,1549
1637084806271645035,1971,0,,1547
1637084806364525857,1972,0,,1538
1637084806456306729,1973,0,,1544
1637084806567142655,1974,0,,1528
1637084806699983958,1975,0,,1517
1637084806802462888,1976,0,,1494
1637084806915738765,1977,0,,1481
1637084807010106438,1978,0,,1504
1637084807102243385,1979,0,,1515
1637084807154770627,1980,0,,1522
1637084807252551905,1981,0,,1538
1637084807353242402,1982,0,,1554
1637084807431680703,1983,0,,1560
1637084807528258963,1984,0,,1554
1637084807619674837,1985,0,,1551
1637084807713070536,1986,0,,1547
1637084807808270180,1987,0,,1536
1637084807883783862,1988,0,,1531
1637084807977154517,1989,0,,1523
1637084808072399408,1990,0,,1518
1637084808174323044,1991,0,,1507
1637084808249084512,1992,0,,1500
1637084808338043540,1993,0,,1494
1637084808431716058,1994,0,,1484
1637084808526294225,1995,0,,1491
1637084808616603538,1996,0,,1501
1637084808711836018,1997,0,,1508
1637084808835791954,1998,0,,1525
1637084808928322453,1999,0,,1532
1637084809022034436,2000,0,,1543
1637084809121846365,2001,0,,1548
1637084809246566239,2002,0,,1539
1637084809338683209,2003,0,,1543
1637084809432230155,2004,0,,1542
1637084809471490574,2005,0,,1541
1637084809607870123,2006,0,,1527
1637084809757488756,2007,0,,1509
1637084809919604733,2008,0,,1499
1637084810018853422,2009,0,,1486
1637084810127717471,2010,0,,1508
1637084810237532057,2011,0,,1518
1637084810394568634,2012,0,,1522
1637084810483227750,2013,0,,1535
1637084810577658463,2014,0,,1553
1637084810681293883,2015,0,,1552
1637084810759196315,2016,0,,1549
1637084810845215990,2017,0,,1549
1637084810967912289,2018,0,,1540
1637084811055640640,2019,0,,1530
1637084811151886145,2020,0,,1524
1637084811226548367,2021,0,,1522
1637084811303055062,2022,0,,1515
1637084811388051859,2023,0,,1508
1637084811479319358,2024,0,,1498
1637084811568768051,2025,0,,1483
1637084811671935454,2026,0,,1492
1637084811764187983,2027,0,,1507
1637084811858715486,2028,0,,1509
1637084811935075847,2029,0,,1519
1637084812021852042,2030,0,,1533
1637084812063643797,2031,0,,1538
1637084812183922589,2032,0,,1546
1637084812273571633,2033,0,,1539
1637084812363595826,2034,0,,1535
1637084812403039336,2035,0,,1526
1637084812519437889,2036,0,,1517
1637084812606945107,2037,0,,1502
1637084812684883586,2038,0,,1492
1637084812771536864,2039,0,,1488
1637084812862540627,2040,0,,1489
1637084812944858205,2041,0,,1481
1637084813018175721,2042,0,,1467
1637084813115937350,2043,0,,1462
1637084813188420789,2044,0,,1472
1637084813284335157,2045,0,,1487
1637084813390300027,2046,0,,1495
1637084813475648897,2047,0,,1493
1637084813561980282,2048,0,,1503
1637084813740981616,2049,0,,1525
1637084813895198342,2050,0,,1514
1637084813972099604,2051,0,,1511
1637084814071483545,2052,0,,1499
1637084814144435569,2053,0,,1494
1637084814255206020,2054,0,,1487
1637084814439163574,2055,0,,1456
1637084814571397318,2056,0,,1449
1637084814711708455,2057,0,,1443
1637084814803364281,2058,0,,1462
1637084814901305109,2059,0,,1474
1637084814992757057,2060,0,,1487
1637084815084545560,2061,0,,1493
1637084815212213034,2062,0,,1509
1637084815301936787,2063,0,,1519
1637084815398253077,2064,0,,1516
1637084815488560544,2065,0,,1511
1637084815572999996,2066,0,,1503
1637084815668816118,2067,0,,1488
1637084815723377304,2068,0,,1492
1637084815843398229,2069,0,,1481
1637084815926187648,2070,0,,1468
1637084816018574301,2071,0,,1468
1637084816104418275,2072,0,,1446
1637084816175643316,2073,0,,1436
1637084816268121192,2074,0,,1415
1637084816337894719,2075,0,,1434
1637084816429638843,2076,0,,1454
1637084816520204805,2077,0,,1445
1637084816607742984,2078,0,,1457
1637084816686960180,2079,0,,1469
1637084816782380962,2080,0,,1476
1637084816842470985,2081,0,,1476
1637084816949089287,2082,0,,1474
1637084817037805604,2083,0,,1465
1637084817139546021,2084,0,,1460
1637084817282515080,2085,0,,1452
1637084817414063906,2086,0,,1428
1637084817563625767,2087,0,,1412
1637084817649743322,2088,0,,1408
1637084817693023015,2089,0,,1398
1637084817811800073,2090,0,,1370
1637084817903041985,2091,0,,1390
1637084818001381057,2092,0,,1401
1637084818079374295,2093,0,,1407
1637084818170742811,2094,0,,1410
1637084818261147181,2095,0,,1416
1637084818343689103,2096,0,,1421
1637084818431354577,2097,0,,1408
1637084818532884389,2098,0,,1395
1637084818622195521,2099,0,,1389
1637084818714188201,2100,0,,1382
1637084818810022353,2101,0,,1375
1637084818899469721,2102,0,,1358
1637084818989857617,2103,0,,1337
1637084819063495872,2104,0,,1339
1637084819164605433,2105,0,,1321
1637084819259781117,2106,0,,1315
1637084819301387451,2107,0,,1316
1637084819420703233,2108,0,,1321
1637084819510895983,2109,0,,1321
1637084819600955138,2110,0,,1331
1637084819691002202,2111,0,,1332
1637084819762614242,2112,0,,1335
1637084819850448514,2113,0,,1336
1637084819943209273,2114,0,,1331
1637084820014825155,2115,0,,1336
1637084820111609603,2116,0,,1326
1637084820198244234,2117,0,,1312
1637084820284618604,2118,0,,1319
1637084820355376791,2119,0,,1317
1637084820450574903,2120,0,,1303
1637084820527873524,2121,0,,1289
1637084820623145846,2122,0,,1275
1637084820668594516,2123,0,,1266
1637084820783503452,2124,0,,1246
1637084820870655731,2125,0,,1231
1637084820957423333,2126,0,,1216
1637084821044522651,2127,0,,1215
1637084821137225931,2128,0,,1208
1637084821227552584,2129,0,,1185
1637084821316950645,2130,0,,1178
1637084821410169563,2131,0,,1172
1637084821538931595,2132,0,,1153
1637084821701678829,2133,0,,1104
1637084821820288149,2134,0,,1053
1637084821899901571,2135,0,,966
1637084822026336496,2136,0,,914
1637084822096268685,2137,0,,854
1637084822224040998,2138,0,,741
1637084822299387835,2139,0,,660
1637084822391583551,2140,0,,602
1637084822483293767,2141,0,,549
1637084822581647682,2142,0,,531
1637084822667491217,2143,0,,518
1637084822766315457,2144,0,,459
1637084822859895881,2145,0,,445
1637084822963994755,2146,0,,440
1637084823060133301,2147,0,,414
1637084823137535371,2148,0,,390
1637084823302927745,2149,0,,342
1637084823393854846,2150,0,,308
1637084823561830567,2151,0,,220
1637084823638523544,2152,0,,206
1637084823731917745,2153,0,,184
1637084823835270208,2154,0,,160
1637084823921040863,2155,0,,151
1637084824004295830,2156,0,,144
1637084824089688356,2157,0,,184
1637084824184034803,2158,0,,185
1637084824275146810,2159,0,,177
1637084824371058856,2160,0,,187
1637084824465182541,2161,0,,248
1637084824536614147,2162,0,,277
1637084824634878109,2163,0,,246
1637084824724755591,2164,0,,198
1637084824803533044,2165,0,,135
1637084824902836955,2166,0,,167
1637084824991091848,2167,0,,191
1637084825114989444,2168,0,,201
1637084825214099970,2169,0,,290
1637084825303465036,2170,0,,377
1637084825432819825,2171,0,,389
1637084825518673195,2172,0,,404
1637084825653799787,2173,0,,393
1637084825749864205,2174,0,,376
1637084825837796060,2175,0,,338
1637084825931541064,2176,0,,367
1637084826024977432,2177,0,,404
1637084826119575206,2178,0,,435
1637084826210930116,2179,0,,443
1637084826305405506,2180,0,,433
