%time,field.header.stamp,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1.63093913280536E+018,1.63093913278971E+018,59.0103569031,49.8649215698,-0.126828923821,395.180725098,244.246994019,62.1885986328
1.63093913283082E+018,1.6309391328147E+018,65.2672958374,54.8324317932,-0.0417929887772,396.723876953,239.218841553,62.2662315369
1.63093913286446E+018,1.63093913284879E+018,72.1345367432,51.8638496399,0.081815905869,401.401550293,243.03678894,62.1505279541
1.63093913289702E+018,1.63093913288244E+018,83.6586151123,56.7551841736,-0.0535610951483,401.841186523,244.243377686,62.0787239075
1.63093913292794E+018,1.63093913291429E+018,69.0975723267,55.7045402527,0.0523377731442,398.233001709,243.407699585,61.7293930054
1.6309391329615E+018,1.63093913294701E+018,72.7431335449,54.2462043762,-0.306790709496,396.297363281,244.949935913,61.2533226013
1.63093913299812E+018,1.63093913298235E+018,68.7569351196,62.8626937866,0.0166479516774,398.626403809,244.971374512,61.2372016907
1.6309391330276E+018,1.63093913301448E+018,81.289352417,52.3527832031,-0.130755215883,392.136932373,243.502639771,61.0641937256
1.63093913306074E+018,1.63093913304695E+018,80.6002426147,52.7969665527,-0.292559951544,392.254547119,244.872680664,61.0538825989
1.63093913309768E+018,1.63093913308304E+018,104.613929749,52.5625610352,-0.202279731631,393.282806396,248.164993286,61.0440254211
1.63093913312879E+018,1.63093913311496E+018,0,0,0,0,0,61.0440254211
1.63093913316391E+018,1.63093913314684E+018,0,0,0,0,0,61.0440254211
1.6309391332051E+018,1.63093913318948E+018,143.004730225,69.1176834106,-0.746042907238,385.841491699,252.658996582,60.8024749756
1.63093913323725E+018,1.63093913322145E+018,100.28805542,69.6284408569,-1.49769413471,394.43359375,259.659637451,61.1985397339
1.63093913327042E+018,1.63093913325308E+018,80.8455352783,76.3482437134,-1.52492904663,389.138427734,247.728393555,61.9964294434
1.63093913330536E+018,1.63093913328935E+018,105.180770874,68.7710571289,0.311313688755,382.861968994,236.974227905,62.2345657349
1.63093913333594E+018,1.63093913332134E+018,64.6482849121,52.3633003235,0.546523690224,390.540283203,240.728637695,61.5657119751
1.63093913336889E+018,1.63093913335296E+018,65.2443161011,53.8779029846,0.110664993525,391.836791992,239.692352295,61.3559303284
1.63093913341185E+018,1.63093913338903E+018,63.3914718628,55.2913360596,0.112450912595,390.240386963,242.49659729,60.7351913452
1.63093913344044E+018,1.63093913342128E+018,60.5150489807,47.0768814087,0.429258555174,394.222930908,237.062423706,60.7351913452
1.63093913346751E+018,1.63093913345333E+018,59.3166732788,44.4755096436,0.649072945118,394.177978516,239.172119141,60.7351913452
1.63093913350422E+018,1.63093913348972E+018,51.9157142639,43.7504272461,0.761757552624,394.62512207,241.037322998,60.7351913452
1.63093913353816E+018,1.63093913352225E+018,67.240447998,51.1201896667,0.278699547052,397.732421875,240.059082031,60.1922721863
1.63093913357175E+018,1.63093913355732E+018,57.367816925,46.9719238281,0.320893615484,393.599578857,240.001846313,60.1922721863
1.63093913360364E+018,1.63093913358922E+018,65.7283096313,59.7843437195,0.180945947766,394.888244629,245.040847778,60.4586296082
1.63093913363625E+018,1.63093913362133E+018,54.7511405945,47.8887825012,0.430070698261,393.016448975,240.947250366,60.4586296082
1.63093913367256E+018,1.63093913365679E+018,54.3378829956,47.1711807251,0.839065134525,396.603881836,244.538925171,60.4586296082
1.63093913370741E+018,1.63093913368856E+018,67.5923919678,55.3266410828,0.287913948298,391.556884766,243.229904175,59.5761032104
1.63093913374025E+018,1.63093913372172E+018,70.9970626831,54.8865470886,1.08835268021,399.3777771,247.098297119,58.024646759
1.63093913377518E+018,1.63093913375764E+018,55.7164154053,46.5857391357,0.872642278671,398.785858154,245.309371948,58.024646759
1.63093913380697E+018,1.63093913378882E+018,60.4390449524,46.6177139282,0.932307958603,400.34197998,246.167892456,58.024646759
1.6309391338417E+018,1.63093913382162E+018,71.8447265625,46.3528327942,1.35987210274,395.859222412,247.546447754,58.024646759
1.63093913387377E+018,1.63093913385748E+018,0,0,0,0,0,58.024646759
1.63093913390766E+018,1.63093913388956E+018,0,0,0,0,0,58.024646759
1.63093913393874E+018,1.6309391339217E+018,125.242195129,78.2879486084,-1.32695698738,401.902038574,253.387634277,59.1974220276
1.63093913397155E+018,1.63093913395736E+018,100.305961609,60.8722839355,-0.917558789253,390.688690186,258.205993652,59.6478424072
1.63093913400437E+018,1.63093913398928E+018,117.053016663,60.6451377869,-0.564279556274,384.131652832,255.966888428,59.842338562
1.63093913403554E+018,1.63093913401962E+018,95.6074981689,66.2091827393,-0.000129962267238,406.464630127,252.513427734,60.3675727844
1.63093913407669E+018,1.63093913405224E+018,70.5848388672,61.0764656067,-0.038695063442,396.995330811,245.786209106,60.7090835571
1.63093913409752E+018,1.63093913408294E+018,71.5334091187,61.3148384094,-0.20021045208,398.309783936,248.633880615,60.631690979
1.63093913413274E+018,1.63093913411558E+018,93.3481140137,67.7574005127,-0.0585410743952,398.519470215,241.980804443,61.4019241333
1.63093913416675E+018,1.63093913415079E+018,67.721862793,55.1452331543,0.0874825790524,401.607788086,244.275588989,61.5193367004
1.63093913420023E+018,1.63093913418388E+018,72.205871582,57.626750946,-0.189857691526,406.701385498,238.220230103,61.7725448608
1.63093913423205E+018,1.63093913421648E+018,77.4961547852,52.9980506897,0.276954114437,402.151672363,244.000015259,60.9665641785
1.63093913426416E+018,1.63093913425055E+018,67.9423980713,59.0461463928,-0.470843821764,399.681152344,241.019927979,60.4374504089
1.63093913429698E+018,1.63093913428334E+018,90.1664352417,61.0412979126,-0.0833151340485,395.414123535,241.318527222,59.6721038818
1.63093913433638E+018,1.6309391343218E+018,70.5597381592,50.7335586548,-0.324771165848,393.934204102,247.540466309,58.7702293396
1.63093913437171E+018,1.63093913435772E+018,81.5605010986,48.7144889832,-0.0764761343598,394.516052246,244.220870972,58.7702293396
1.63093913440899E+018,1.63093913438931E+018,93.2018051147,61.5483894348,-0.124226614833,393.806427002,244.135223389,59.2294807434
1.63093913443744E+018,1.63093913442137E+018,83.7855987549,51.1561584473,0.0449871830642,395.889953613,241.967819214,59.0933952332
1.63093913447854E+018,1.63093913445749E+018,78.736541748,49.4608573914,-0.212900817394,396.90713501,245.351531982,59.0933952332
1.63093913450833E+018,1.63093913448929E+018,95.0806427002,57.0537796021,-0.108328334987,399.224945068,247.051681519,59.1815185547
1.63093913453771E+018,1.63093913452133E+018,97.7842483521,56.8309059143,-0.297557383776,393.966888428,250.130752563,59.4670524597
1.63093913457153E+018,1.63093913455658E+018,0,0,0,0,0,59.4670524597
1.63093913460239E+018,1.63093913458843E+018,0,0,0,0,0,59.4670524597
1.63093913462972E+018,1.63093913461458E+018,155.242996216,76.8998184204,-0.804043829441,386.851501465,252.808303833,60.3228263855
1.6309391346724E+018,1.63093913465734E+018,98.7671813965,62.322177887,-1.27933681011,388.589324951,249.16545105,60.6726036072
1.63093913470497E+018,1.63093913468966E+018,101.356582642,65.7341308594,1.48395943642,388.896514893,253.800567627,61.2149810791
1.63093913473681E+018,1.63093913472145E+018,95.8213272095,55.4066886902,0.364802598953,378.196472168,236.895614624,60.0709190369
1.630939134767E+018,1.63093913475094E+018,79.6728057861,65.2276611328,0.290019959211,384.296386719,242.288482666,60.2886886597
