field.header.stamp,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,,field.header.stamp,time,field.value,,field.header.stamp,field.speed,field.vx,field.vy,field.vz
1.59162378601792E+018,237.244972288,115.829376221,106.096656799,0.245076596737,392.6668396,256.634307861,,1.59162378598961E+018,237.24904704,3.20000004768,,,,,,
1.59162378604986E+018,237.276908288,114.584663391,104.823982239,0.356825113297,393.062133789,257.287414551,,1.59162378601792E+018,237.277362176,3.20000004768,,,,,,
1.59162378608512E+018,237.312165632,114.336761475,107.401313782,0.429510235786,393.01675415,257.634460449,,1.59162378604986E+018,237.309298176,3.20000004768,,,,,,
1.59162378612127E+018,237.348322304,114.099655151,106.273704529,0.378010809422,393.614379883,257.261444092,,1.59162378608512E+018,237.34455552,3.20000004768,,,,,,
1.59162378615116E+018,237.378205696,113.128822327,105.745399475,0.262504190207,392.9034729,256.978240967,,1.59162378612127E+018,237.380712192,3.20000004768,,,,,,
1.59162378618935E+018,237.41639808,113.513626099,106.089950562,0.10795083642,393.39755249,256.36038208,,1.59162378615116E+018,237.410595584,3.20000004768,,,,,,
1.59162378621742E+018,237.4444736,113.380592346,105.10912323,0.169148012996,392.571228027,256.328399658,,1.59162378618935E+018,237.448787968,3.20000004768,,,,,,
1.59162378625084E+018,237.4778944,112.169487,104.159416199,0.131183192134,392.881958008,256.738006592,,1.59162378621742E+018,237.476863488,3.20000004768,,,,,,
1.5916237862892E+018,237.51624704,112.088745117,105.633926392,0.00493696797639,393.077392578,256.617736816,,1.59162378625084E+018,237.510284288,3.20000004768,,,,,,
1.59162378631854E+018,237.5455872,114.058074951,104.078659058,0.14217312634,392.573547363,257.060913086,,1.5916237862892E+018,237.548636928,3.20000004768,,,,,,
1.59162378634987E+018,237.576918272,112.637268066,106.146507263,-0.143521741033,393.03817749,256.120361328,,1.59162378631854E+018,237.577977088,3.20000004768,,,,,,
1.5916237863854E+018,237.612445952,111.645454407,106.234901428,-0.0313972048461,393.278808594,255.794204712,,1.59162378634987E+018,237.60930816,3.20000004768,,,,,,
1.59162378641845E+018,237.645504256,112.468643188,103.342391968,0.295600771904,393.115905762,256.760406494,,1.5916237863854E+018,237.64483584,3.20000004768,,,,,,
1.59162378644898E+018,237.67602944,111.700309753,103.630203247,0.484654426575,393.52911377,257.253326416,,1.59162378641845E+018,237.677894144,3.20000004768,,,,,,
1.59162378648605E+018,237.713103104,112.651596069,102.266830444,0.508644998074,393.823699951,257.126281738,,1.59162378644898E+018,237.708419328,3.20000004768,,,,,,
1.59162378651859E+018,237.745642752,112.259056091,100.918533325,0.507598757744,394.13671875,259.33972168,,1.59162378648605E+018,237.745492992,3.20000004768,,,,,,
1.59162378655508E+018,237.782134784,113.438545227,94.2206573486,0.271309137344,392.392791748,260.093048096,,1.59162378651859E+018,237.77803264,3.20000004768,,,,,,
1.59162378659167E+018,237.818724096,115.384910583,91.8058166504,0.228283375502,391.464416504,260.129302979,,1.59162378655508E+018,237.814524672,3.20000004768,,,,,,
1.59162378661946E+018,237.84651264,118.555908203,93.029006958,0.25146061182,390.006225586,258.178894043,,1.59162378659167E+018,237.851113984,3.20000004768,,,,,,
1.59162378665802E+018,237.885069824,120.03212738,93.204246521,0.304293721914,387.073852539,258.544799805,,1.59162378661946E+018,237.878902528,3.20000004768,,,,,,
1.59162378669184E+018,237.918893824,120.048179626,90.0113067627,0.388493955135,385.483764648,258.301147461,,1.59162378665802E+018,237.917459712,3.20000004768,,,,,,
1.59162378672683E+018,237.953882368,133.075592041,86.9887313843,0.423347949982,383.147613525,258.155181885,,1.59162378669184E+018,237.951283712,3.20000004768,,,,,,
1.59162378676003E+018,237.98707968,140.164581299,94.2990646362,0.46835309267,384.595184326,257.984039307,,1.59162378672683E+018,237.986272256,3.20000004768,,,,,,
1.59162378679187E+018,238.01891584,137.028121948,100.257659912,0.502174854279,385.491668701,256.494995117,,1.59162378676003E+018,238.019469568,3.20000004768,,,,,,
1.59162378682214E+018,238.049186048,149.597396851,109.985488892,0.716805815697,382.697540283,245.195251465,,1.59162378679187E+018,238.051305728,3.20000004768,,,,,,
1.59162378685871E+018,238.085764864,156.07081604,114.985488892,1.28749191761,387.647033691,236.965576172,,1.59162378682214E+018,238.081575936,3.20000004768,,,,,,
1.59162378688925E+018,238.11630336,159.177612305,112.470779419,-1.55382788181,390.503692627,236.019927979,,1.59162378685871E+018,238.118154752,3.20000004768,,,,,,
1.59162378693439E+018,238.161440256,133.729660034,112.211700439,-0.908453166485,395.328887939,244.955245972,,1.59162378688925E+018,238.148693248,3.20000004768,,,,,,
