%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration,field.acceleration_averaged
1635821700039748167,757,1635821700039614915,,-7.88174009323,-2.50244402885
1635821700043905701,758,1635821700043756008,,20.2845001221,-1.00816404819
1635821700047854897,759,1635821700047743082,,1.88108003139,2.91056394577
1635821700051663795,760,1635821700051528930,,-6.86768007278,2.31835389137
1635821700055854458,761,1635821700055677890,,-9.3035402298,-0.377476006746
1635821700059862219,762,1635821700059699058,,14.6226196289,4.1233959198
1635821700063927989,763,1635821700063757896,,-4.11448001862,-0.756399989128
1635821700067590678,764,1635821700067472934,,-13.8625802994,-3.90513205528
1635821700071821827,765,1635821700071685075,,1.89927005768,-2.15174198151
1635821700075771499,766,1635821700075593948,,4.24674987793,0.558315992355
1635821700079836431,767,1635821700079715013,,-13.0791397095,-4.98203611374
1635821700083875317,768,1635821700083775043,,0.418720006943,-4.07539606094
1635821700087824663,769,1635821700087630987,,6.71689987183,0.0405000001192
1635821700091876057,770,1635821700091696023,,20.5164203644,3.76393008232
1635821700096163277,771,1635821700095814943,,-39.2093086243,-4.92728185654
1635821700099819807,772,1635821700099642992,,34.8219184875,4.65292978287
1635821700103939657,773,1635821700103718042,,-5.59501981735,3.45018196106
1635821700108131197,774,1635821700107887983,,-3.40531992912,1.42573797703
1635821700112069421,775,1635821700111776113,,0.823019981384,-2.51294207573
1635821700116110959,776,1635821700115830898,,-9.69225025177,3.39047002792
1635821700120271942,777,1635821700119946002,,-7.2416100502,-5.02223587036
1635821700124459196,778,1635821700124056100,,5.3040099144,-2.84243011475
1635821700128925928,779,1635821700128308057,,-2.68111991882,-2.69759011269
1635821700132981716,780,1635821700132256984,,3.29203009605,-2.20378804207
1635821700136761137,781,1635821700136184930,,5.65181016922,0.865023970604
1635821700140861667,782,1635821700140223979,,2.37680006027,2.78870606422
1635821700145041711,783,1635821700144421100,,-8.19610023499,0.0886840000749
1635821700148798214,784,1635821700148277997,,6.63746023178,1.9523999691
1635821700152999764,785,1635821700152441024,,-5.90916013718,0.112162001431
1635821700156724438,786,1635821700156183004,,6.38699007034,0.259198009968
1635821700160947904,787,1635821700160387992,,3.16290998459,0.416420012712
1635821700164765888,788,1635821700164249897,,-4.6091299057,1.13381397724
1635821700168968042,789,1635821700168267011,,6.47231006622,1.10078394413
1635821700173099755,790,1635821700172391891,,8.12145042419,3.90690588951
